institutionID,name,bic,environmentType,countries,brands,active,businessAccounts,aISAccount,aISAccounts,aISAccountBalances,aISAccountsWithoutBalance,aISTransactions,aISIdentity,aISStatements,pISDomesticSingle,pISDomesticSingleInstant,pISFuturePayment,pISStandingOrder,pISVRP,pISInternationalSingle,pISInternationalFuturePayment,pISInternationalFixedRecurring,pISBulkPayments,singleAuth,preAuth,embedded,domesticSinglePaymentRefund,domesticScheduledPaymentRefund,domesticPeriodicPaymentRefund,internationalSinglePaymentRefund,internationalScheduledPaymentRefund
caisse-d-epargne-bourgogne-franche-comte,Caisse d Epargne Bourgogne Franche-Comte,CEPAFRPP213,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
caisse-d-epargne-bretagne-pays-de-loire,Caisse d Epargne Bretagne-Pays De Loire,CEPAFRPP444,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
caisse-d-epargne-cote-d-azur,Caisse d Epargne Cote d Azur,CEPAFRPP831,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
caisse-d-epargne-grand-est-europe,Caisse d Epargne Grand Est Europe,CEPAFRPP513,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
caisse-d-epargne-hauts-de-france,Caisse d Epargne Hauts de France,CEPAFRPP627,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
caisse-d-epargne-languedoc-roussillon,Caisse d Epargne Languedoc-Roussillon,CEPAFRPP348,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
caisse-d-epargne-lle-de-france,Caisse d Epargne Ile De France,CEPAFRPP751,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
caisse-d-epargne-loire-centre,Caisse d Epargne Loire-Centre,CEPAFRPP450,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
caisse-d-epargne-loire-drome-ardeche,Caisse d Epargne Loire Drôme Ardèche,CEPAFRPP426,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
caisse-d-epargne-midi-pyrenees,Caisse d Epargne Midi-Pyrenees,CEPAFRPP313,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
caisse-d-epargne-normandie,Caisse d Epargne Normandie,CEPAFRPP142,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
